nearest_places_id,post_id,place_id
438,110,ChIJBTfBbwCjpBIRK-jjm940utc
439,110,ChIJWXpb8PeipBIR9qHIBx1PV4U
440,110,ChIJc0WMe_GipBIRJiU_pUq_bRc
441,111,ChIJOyoByVCipBIR-mZapSxPHY8
442,111,ChIJBTfBbwCjpBIRK-jjm940utc
443,111,ChIJWXpb8PeipBIR9qHIBx1PV4U
444,111,ChIJc0WMe_GipBIRJiU_pUq_bRc
445,112,ChIJ12d3ZlmYpBIRStDXELkkdJE
446,112,ChIJBTfBbwCjpBIRK-jjm940utc
447,112,ChIJC6CEtf2ipBIRkFQaF95uL1Q
448,112,ChIJa-K8mf6ipBIRY8wAB3EeASc
449,113,ChIJ12d3ZlmYpBIRStDXELkkdJE
450,113,ChIJNbGKpPyipBIRWOE2AiC82hc
451,113,ChIJC6CEtf2ipBIRkFQaF95uL1Q
452,113,ChIJeYwrA_uipBIRtLLknGLSRQA
